SAMPLE,NEST,STREAM,AGE,SEX,COLLECTION_DATE,PROPORTION_EPT,AVG_PH,MOTU_RICHNESS
BKT1_13,BKT1,LOYAL,Adult,Female,20-May-15,0.2695,7.0441,20
MMP2_11,MMP2,POWD,Adult,Female,28-May-15,0.214,6.8031,22
BKT9_9,BKT9,POWD,Adult,Female,1-Jun-15,0.2044,6.8477,30
DAM1_5,DAM1,POWD,Adult,Female,22-May-15,0.158,6.5776,32
BKT7_9,BKT7,POWD,Adult,Female,28-May-15,0.1628,6.6913,41
BKT3_10,BKT3,LAUREL,Adult,Female,25-May-15,0.0724,5.8823,47
BKT14_9,BKT14,POWD,Adult,Female,1-Jun-15,0.0829,4.6273,67
BKT1_12,BKT1,LOYAL,Adult,Male,20-May-15,0.2695,7.0441,23
BKT7_10,BKT7,POWD,Adult,Male,28-May-15,0.1628,6.6913,26
BKT14_10,BKT14,POWD,Adult,Male,1-Jun-15,0.0829,4.6273,44
BKT3_11,BKT3,LAUREL,Adult,Male,25-May-15,0.0724,5.8823,44
MMP2_12,MMP2,POWD,Adult,Male,28-May-15,0.214,6.8031,52
BKT9_10,BKT9,POWD,Adult,Male,1-Jun-15,0.2044,6.8477,55
DAM1_7,DAM1,POWD,Adult,Male,22-May-15,0.158,6.5776,59